date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-09-15 10:50:53.54 23.1622 121.3905 20.61 4.59 99 7.30 44 0.27 0.10 0.10 F 250 B
2021-09-18 18:16:25.27 24.8212 122.6840 129.77 4.39 99 50.80 183 0.35 0.30 0.30 F 250 D
2021-09-19 04:46:03.70 24.7310 122.3192 98.06 5.03 99 39.60 141 0.36 0.30 0.30 F 272 C
2021-09-23 22:38:07.62 24.0052 122.2805 24.93 4.00 99 13.30 66 0.46 0.30 0.30 F 204 B
2021-09-25 22:21:19.63 24.3170 121.6832 46.13 5.78 99 2.00 43 0.32 0.20 0.20 F 289 B
2021-09-26 02:24:21.02 21.4588 121.6982 130.98 4.16 99 19.90 255 0.33 0.20 0.10 F 241 D
2021-09-28 02:14:01.06 21.1407 121.9022 173.04 5.17 99 57.70 272 0.38 0.50 0.30 F 152 D
2021-10-03 02:45:30.35 23.3128 121.4320 24.71 4.15 99 2.00 41 0.36 0.10 0.10 F 264 B
2021-10-03 07:44:40.13 24.7795 122.2388 6.98 4.41 99 30.80 129 0.54 0.30 0.40 F 201 D
2021-10-04 06:07:50.54 24.7842 122.2505 3.92 5.08 99 31.80 127 0.39 0.10 0.20 F 219 C
2021-10-06 20:21:43.49 23.9072 121.4558 20.91 4.28 99 7.50 24 0.32 0.10 0.10 F 244 B
2021-10-07 03:28:16.90 22.4288 121.1215 3.12 4.09 88 23.70 64 0.54 0.20 0.20 F 134 D
2021-10-07 04:18:43.46 24.5690 122.5550 80.53 5.00 99 45.30 213 0.36 0.30 0.20 F 288 D
2021-10-10 08:49:42.90 24.7030 122.2473 94.80 4.12 99 33.70 132 0.44 0.40 0.40 F 227 C
2021-10-15 03:31:00.27 24.6178 121.8788 56.82 4.02 99 2.20 68 0.26 0.20 0.10 F 258 B
2021-10-16 15:35:02.07 21.1280 121.3348 62.60 4.63 71 46.90 273 0.46 0.20 0.20 F 85 D
2021-10-18 05:49:18.63 24.2002 121.6702 31.40 5.25 99 6.70 29 0.28 0.10 0.10 F 268 B
2021-10-19 06:21:47.32 24.0415 122.5628 31.77 4.00 99 21.10 124 0.46 0.30 0.20 F 173 C
2021-10-23 03:16:04.62 24.0678 121.6518 26.80 5.33 99 5.00 49 0.32 0.10 0.10 F 209 B
2021-10-23 03:24:58.07 24.0987 121.8085 4.61 4.19 99 20.00 49 0.31 0.10 0.10 F 167 C
