date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-12-01 08:57:05.02 22.9155 121.6245 19.33 4.46 99 32.70 67 0.41 0.20 0.20 F 226 C
2021-12-01 15:26:23.85 21.4103 121.2325 58.12 4.26 99 31.40 231 0.63 0.20 0.10 F 212 D
2021-12-04 20:24:37.80 24.0975 122.4062 25.78 4.27 99 9.40 98 0.47 0.20 0.10 F 216 C
2021-12-06 08:29:07.12 24.1438 121.6743 30.93 4.15 99 5.50 40 0.30 0.10 0.10 F 267 B
2021-12-06 13:05:51.94 24.8557 122.0475 105.43 5.51 99 10.60 114 0.29 0.20 0.20 F 317 B
2021-12-07 16:45:48.67 23.3783 121.4425 32.74 4.16 99 6.90 37 0.42 0.20 0.20 F 276 B
2021-12-10 00:01:28.30 24.9100 122.2000 9.14 4.17 99 23.20 135 0.41 0.10 0.20 F 258 C
2021-12-12 06:16:13.97 24.1945 122.1413 40.08 4.21 99 13.70 52 0.53 0.20 0.30 F 243 C
2021-12-17 15:24:42.06 21.7710 121.1855 50.21 4.12 99 36.80 143 0.34 0.10 0.20 F 200 C
2021-12-18 20:02:49.13 22.9640 121.3573 22.25 4.51 99 14.90 51 0.37 0.10 0.10 F 265 B
2021-12-20 00:09:41.49 23.9023 122.4640 15.13 4.42 99 3.50 119 0.43 0.50 0.50 F 305 B
2021-12-21 10:59:30.78 23.1153 120.5153 10.09 4.67 99 7.80 48 0.36 0.10 0.10 F 263 B
2021-12-28 00:02:57.67 24.6417 122.7205 103.32 4.67 99 34.60 162 0.29 0.20 0.20 F 286 C
2021-12-30 06:47:09.70 23.9833 122.5145 29.65 5.52 99 13.00 118 0.46 0.20 0.10 F 291 C
