date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2022-03-22 17:06:55.19 22.0250 121.3625 25.95 5.55 99 20.10 91 0.40 0.30 0.30 F 276 C
2022-03-22 17:41:38.85 23.3985 121.6118 25.73 6.70 99 18.80 45 0.44 0.60 0.50 F 263 A
2022-03-22 17:42:38.87 23.4397 121.4870 28.41 5.79 84 14.10 123 0.33 0.20 0.20 F 129 C
2022-03-22 17:43:25.40 23.4230 121.4277 22.63 6.21 99 11.50 116 0.40 0.10 0.20 F 224 C
2022-03-22 17:44:06.44 23.4142 121.4458 21.74 4.94 33 10.90 157 0.27 0.30 0.40 F 51 C
2022-03-22 17:44:35.24 23.4128 121.4373 19.84 4.74 24 10.80 149 0.33 0.40 0.60 F 35 C
2022-03-22 17:44:59.13 23.4610 121.4028 20.07 4.52 27 6.90 134 0.28 0.70 0.60 F 47 B
2022-03-22 17:45:26.89 23.4582 121.4392 20.87 4.42 46 10.40 153 0.31 0.60 0.50 F 76 C
2022-03-22 17:46:05.85 23.3808 121.4845 30.18 4.87 99 7.90 119 0.35 0.20 0.20 F 194 C
2022-03-22 17:46:36.23 23.3827 121.4500 32.56 4.33 32 7.30 166 0.41 0.50 0.40 F 63 C
2022-03-22 17:47:03.79 23.4328 121.5128 28.61 4.61 85 14.40 112 0.42 0.20 0.30 F 166 C
2022-03-22 17:47:37.83 23.3735 121.4663 31.56 4.36 38 6.50 187 0.32 0.30 0.30 F 74 D
2022-03-22 17:48:37.03 23.4395 121.4647 27.06 4.31 85 13.60 53 0.31 0.20 0.20 F 146 B
2022-03-22 17:49:03.56 23.4217 121.4935 26.67 4.26 62 12.50 120 0.38 0.70 0.40 F 112 B
2022-03-22 17:49:29.20 23.4457 121.4080 21.52 4.16 62 8.30 98 0.37 0.60 0.50 F 98 B
2022-03-22 17:50:37.02 23.4060 121.4442 23.25 4.10 99 10.00 114 0.39 0.50 0.30 F 161 B
2022-03-22 17:50:56.46 23.4070 121.4388 24.10 4.15 57 10.10 154 0.35 0.60 0.30 F 87 C
2022-03-22 17:51:39.71 23.4490 121.4605 22.94 4.29 99 12.80 110 0.27 0.10 0.10 F 253 B
2022-03-22 17:52:43.84 23.4237 121.4803 28.48 4.01 99 12.30 108 0.37 0.20 0.20 F 140 C
2022-03-22 17:52:58.39 23.3988 121.4325 22.68 4.50 99 9.30 94 0.34 0.10 0.10 F 247 C
2022-03-22 17:53:26.73 23.4570 121.4827 26.94 4.01 45 14.60 166 0.29 0.30 0.40 F 75 C
2022-03-22 17:54:04.26 23.4283 121.5070 30.14 4.29 99 13.60 61 0.34 0.20 0.20 F 258 B
2022-03-22 17:55:46.47 23.3783 121.4462 23.70 4.51 99 6.90 93 0.39 0.10 0.10 F 240 C
2022-03-22 17:58:47.64 23.4503 121.5068 24.88 4.16 99 15.90 75 0.26 0.10 0.10 F 233 B
2022-03-22 17:59:50.34 23.3413 121.4470 29.31 4.32 99 2.80 86 0.29 0.10 0.10 F 255 B
2022-03-22 18:00:53.85 23.4077 121.4363 23.42 4.36 99 10.20 79 0.25 0.10 0.10 F 270 B
2022-03-22 18:03:12.91 23.3617 121.4555 29.79 4.20 99 5.00 87 0.30 0.10 0.10 F 282 B
2022-03-22 18:03:48.83 23.3898 121.4402 23.69 4.71 99 8.20 59 0.29 0.10 0.10 F 283 B
2022-03-22 18:10:51.91 23.5003 121.4310 18.74 4.72 99 8.80 56 0.30 0.10 0.10 F 231 B
2022-03-22 18:11:34.48 23.4038 121.4490 23.35 5.08 99 9.70 95 0.28 0.10 0.10 F 282 B
2022-03-22 18:17:25.78 23.3743 121.4358 23.67 4.01 99 6.60 149 0.32 0.10 0.10 F 200 C
2022-03-22 18:19:04.25 23.4568 121.4900 27.23 4.22 99 15.30 104 0.32 0.10 0.20 F 182 C
2022-03-22 18:22:12.34 23.4852 121.4438 23.70 4.46 99 10.10 84 0.32 0.20 0.20 F 173 B
2022-03-22 18:22:23.40 23.4252 121.4962 26.10 4.25 25 12.90 158 0.40 0.40 0.80 F 37 C
2022-03-22 18:37:35.90 23.3682 121.4887 30.86 4.06 72 6.90 115 0.36 0.30 0.20 F 115 C
2022-03-22 18:37:50.77 23.4223 121.5225 35.71 5.51 99 13.80 36 0.32 0.10 0.10 F 315 B
2022-03-22 18:39:29.28 23.3823 121.4332 23.26 4.09 23 7.50 183 0.31 0.40 0.40 F 43 D
2022-03-22 18:40:55.11 23.4450 121.4512 25.15 4.46 99 12.10 95 0.32 0.10 0.10 F 252 C
2022-03-22 18:40:58.69 22.0425 121.3677 26.68 4.72 60 19.50 89 0.35 0.50 0.80 F 90 B
2022-03-22 18:42:41.95 23.3572 121.4802 31.59 4.00 92 5.40 158 0.29 0.20 0.20 F 158 C
2022-03-22 18:42:54.74 23.4093 121.4885 32.05 4.04 53 11.00 168 0.38 0.30 0.30 F 75 C
2022-03-22 19:14:56.89 23.4652 121.4965 27.54 4.78 99 15.80 32 0.32 0.10 0.10 F 304 B
2022-03-22 19:35:03.93 23.4812 121.5007 28.88 5.87 99 15.90 55 0.27 0.10 0.20 F 298 B
2022-03-22 19:36:49.94 23.4977 121.4873 24.51 4.60 77 14.50 163 0.28 0.20 0.20 F 136 C
