date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2021-11-01 03:12:14.77 23.6503 121.6125 40.28 3.15 83 9.20 65 0.37 0.30 0.20 F 147 B
2021-11-01 09:20:47.03 23.8983 121.4372 25.70 3.06 99 9.30 24 0.28 0.10 0.20 F 191 B
2021-11-01 14:43:09.25 23.6020 121.7012 29.30 2.84 73 19.60 95 0.31 0.30 0.20 F 128 C
2021-11-01 14:47:47.47 23.8365 121.4740 13.06 1.48 7 4.30 101 0.19 0.40 0.40 F 14 B
2021-11-02 09:01:04.61 23.8543 121.5833 3.23 3.08 70 5.80 134 0.42 0.20 0.20 F 108 C
2021-11-02 23:34:07.64 24.0360 121.6580 39.30 3.00 77 7.40 47 0.35 0.30 0.30 F 130 B
2021-11-03 00:24:06.40 23.5420 121.3950 28.53 1.73 25 6.30 119 0.35 1.20 0.90 F 38 B
2021-11-03 01:24:49.91 24.2213 121.2423 10.26 1.42 21 2.90 54 0.40 0.60 0.70 F 38 A
2021-11-03 03:33:03.20 24.1447 121.6177 4.21 1.57 11 1.60 170 0.34 1.00 1.00 F 16 C
2021-11-03 07:39:44.20 24.2348 121.6927 7.57 2.02 32 9.90 110 0.27 0.50 0.40 F 51 B
2021-11-03 08:57:13.32 24.2607 121.6795 11.36 1.88 31 8.10 118 0.32 0.60 0.40 F 52 B
2021-11-03 09:06:20.94 24.0553 121.6145 10.25 1.74 29 3.10 96 0.36 0.90 0.60 F 43 B
2021-11-03 10:57:23.23 23.7995 121.6435 19.17 2.59 72 8.30 80 0.35 0.20 0.20 F 138 B
2021-11-03 11:22:46.51 23.8265 121.4737 12.02 1.34 17 3.60 72 0.35 0.80 0.70 F 29 A
2021-11-03 14:38:01.47 23.8672 121.4445 14.50 1.02 13 6.10 101 0.32 1.00 0.90 F 23 B
2021-11-03 15:01:14.35 23.8637 121.5212 14.44 0.88 14 9.40 91 0.42 1.30 1.20 F 22 B
2021-11-03 15:25:17.79 23.5877 121.2602 7.42 0.64 11 11.70 135 0.32 0.80 2.30 F 19 B
2021-11-03 16:13:09.69 23.8773 121.5183 10.03 1.30 15 9.00 84 0.24 0.50 0.80 F 25 A
2021-11-03 16:18:52.82 23.6180 121.2408 14.32 1.71 35 15.50 61 0.34 0.30 0.50 F 61 C
2021-11-03 16:26:14.35 23.7703 121.9325 29.99 2.02 23 37.70 109 0.30 0.80 0.90 F 37 B
2021-11-03 16:54:17.81 23.9432 121.4875 13.34 1.16 11 2.50 118 0.40 1.10 0.80 F 20 B
2021-11-03 16:58:41.43 23.7602 121.7122 40.92 1.78 23 15.50 135 0.37 1.40 1.70 F 36 B
2021-11-03 17:17:42.83 23.7032 121.5845 31.60 2.67 80 3.80 74 0.27 0.20 0.20 F 138 B
2021-11-03 18:32:15.63 23.7400 121.5565 6.09 1.46 17 3.70 135 0.23 0.20 0.20 F 25 C
2021-11-03 19:02:01.23 23.5403 121.5318 47.21 1.72 17 12.20 96 0.43 1.80 1.20 F 27 C
2021-11-03 19:12:16.47 23.8083 121.4768 8.36 0.51 7 3.60 110 0.23 0.40 0.30 F 12 B
2021-11-03 19:30:40.45 23.8278 121.4093 7.02 0.67 8 3.70 88 0.14 0.80 0.90 F 13 A
2021-11-03 19:46:15.54 23.8113 121.4667 8.59 0.89 7 2.60 113 0.27 0.90 0.60 F 14 B
2021-11-03 20:06:33.56 23.6553 121.5555 43.95 3.00 99 5.90 31 0.33 0.20 0.20 F 242 B
2021-11-03 20:11:29.67 23.9325 121.4535 17.92 1.23 11 5.40 77 0.32 1.10 1.20 F 20 A
2021-11-03 20:34:29.58 23.7080 121.4355 10.15 1.38 18 4.40 87 0.26 0.70 0.50 F 26 A
2021-11-03 20:49:57.53 23.7967 121.4398 6.25 0.53 7 1.70 91 0.05 0.30 0.20 F 10 B
2021-11-03 20:53:48.12 23.9743 121.5203 15.61 1.95 49 3.00 54 0.28 0.20 0.20 F 88 B
2021-11-03 20:56:34.91 23.9703 121.5207 17.65 1.61 22 2.90 81 0.38 0.70 0.90 F 40 A
2021-11-03 21:00:59.30 23.8952 121.4345 20.90 1.42 17 9.20 95 0.32 0.80 1.00 F 29 B
2021-11-03 21:17:31.82 23.8142 121.5435 7.69 1.97 44 3.50 72 0.32 0.20 0.20 F 79 B
2021-11-03 21:17:53.65 23.8082 121.5210 10.85 1.69 21 4.80 85 0.33 0.70 0.70 F 35 A
2021-11-03 21:18:49.63 24.1970 121.6517 30.47 2.75 74 5.20 72 0.30 0.30 0.30 F 124 B
2021-11-03 21:21:13.20 23.9688 121.5002 16.06 1.75 30 0.90 75 0.43 0.70 0.70 F 55 A
2021-11-03 21:32:22.31 23.7667 121.5090 10.38 1.32 21 5.90 81 0.27 0.50 0.60 F 34 A
2021-11-03 22:08:24.23 24.0760 121.4408 8.63 1.65 26 6.70 68 0.38 0.60 0.50 F 42 A
2021-11-03 22:09:32.79 23.8258 121.4067 17.88 1.62 29 3.90 59 0.39 0.70 0.80 F 50 A
2021-11-03 23:34:32.31 23.5507 121.4860 29.26 2.18 34 9.10 112 0.29 0.80 0.50 F 55 B
2021-11-04 04:52:32.77 23.8887 121.5717 20.36 2.62 50 3.50 88 0.30 0.30 0.30 F 89 B
2021-11-04 10:25:17.66 24.0487 121.6470 32.00 2.62 84 5.60 52 0.36 0.20 0.20 F 168 B
2021-11-04 14:22:41.81 24.1743 121.5102 5.44 0.78 4 4.60 127 0.12 0.90 0.90 F 8 B
2021-11-04 17:39:56.92 23.8508 121.7445 46.22 3.00 88 15.70 73 0.29 0.30 0.20 F 136 B
